comp_id,ad_blocked,embed,ratio,duration,language,partner,partner_active,n_likes,n_tags,n_formats,dayofweek,hour
3001,FALSE,TRUE,1.33333,1675,2,FALSE,FALSE,0,10,2,2,3
3002,FALSE,TRUE,1.33333,1479,2,FALSE,FALSE,0,10,2,2,3
3003,FALSE,TRUE,1.33333,1505,2,FALSE,FALSE,0,10,2,2,3
3004,FALSE,TRUE,1.77778,50,2,TRUE,TRUE,1,6,5,2,3
3005,FALSE,TRUE,1.33333,1543,2,FALSE,FALSE,0,6,2,2,3
3006,FALSE,TRUE,1.77778,68,2,TRUE,TRUE,0,2,5,2,3
3007,FALSE,TRUE,1.33333,1559,2,FALSE,FALSE,0,4,2,2,3
3008,FALSE,TRUE,1.33333,1613,2,FALSE,FALSE,0,7,2,2,3
3009,FALSE,TRUE,1.33333,1476,2,FALSE,FALSE,0,6,2,2,3
3010,FALSE,TRUE,1.33333,233,2,FALSE,FALSE,0,6,3,2,3
3011,FALSE,TRUE,1.25,1551,5,TRUE,FALSE,0,0,3,2,3
3012,FALSE,TRUE,1.33333,1343,2,FALSE,FALSE,0,10,2,2,3
3013,FALSE,TRUE,1.77778,86,2,TRUE,TRUE,0,3,5,2,3
3014,FALSE,TRUE,1.33333,1424,2,FALSE,FALSE,0,9,2,2,3
3015,FALSE,TRUE,1.33333,1500,2,FALSE,FALSE,0,10,2,2,3
3016,FALSE,TRUE,1.77778,89,2,FALSE,FALSE,0,1,2,2,2
3017,FALSE,TRUE,1.77778,212,2,TRUE,TRUE,0,3,5,2,2
3018,FALSE,TRUE,1.33333,1656,2,FALSE,FALSE,0,10,2,2,2
3019,FALSE,TRUE,1.33333,1719,2,FALSE,FALSE,0,10,2,2,2
3020,FALSE,TRUE,1.33333,71,2,FALSE,FALSE,0,10,3,2,2
3021,FALSE,FALSE,1.22222,638,2,FALSE,FALSE,0,0,2,2,2
3022,FALSE,FALSE,1.22222,637,2,FALSE,FALSE,0,0,2,2,2
3023,FALSE,TRUE,1.77778,44,2,FALSE,FALSE,0,5,4,2,2
3024,FALSE,TRUE,1.77778,61,2,TRUE,TRUE,0,3,5,2,2
3025,FALSE,TRUE,1.33333,488,2,FALSE,FALSE,0,0,5,2,2
3026,FALSE,TRUE,1.77778,66,2,TRUE,TRUE,0,5,5,2,2
3027,FALSE,TRUE,1.77778,12627,2,TRUE,FALSE,0,0,2,2,2
3028,FALSE,TRUE,1.77778,211,4,FALSE,FALSE,0,0,4,2,2
3029,FALSE,FALSE,1.33333,572,2,FALSE,FALSE,0,0,2,2,2
3030,FALSE,FALSE,1.33333,572,2,FALSE,FALSE,0,0,2,2,2
3031,FALSE,FALSE,1.33333,569,2,FALSE,FALSE,0,0,2,2,2
3032,FALSE,FALSE,1.22222,609,2,FALSE,FALSE,0,0,2,2,2
3033,FALSE,FALSE,1.22222,612,2,FALSE,FALSE,0,0,2,2,2
3034,FALSE,TRUE,1.77778,1163,2,TRUE,FALSE,0,0,4,2,2
3035,FALSE,TRUE,1.77778,220,2,FALSE,FALSE,0,5,2,2,2
3036,FALSE,TRUE,1.76667,383,2,FALSE,FALSE,0,2,3,2,2
3037,FALSE,TRUE,1.77778,5765,2,TRUE,FALSE,0,0,2,2,2
3038,FALSE,TRUE,1.33333,383,2,FALSE,FALSE,0,0,3,2,2
3039,FALSE,FALSE,1.22222,629,2,FALSE,FALSE,0,0,2,2,2
3040,FALSE,FALSE,1.22222,627,2,FALSE,FALSE,0,0,2,2,2
3041,FALSE,TRUE,1.77778,1309,2,TRUE,FALSE,0,0,4,2,2
3042,FALSE,TRUE,1.77778,8371,2,TRUE,FALSE,0,0,2,2,1
3043,FALSE,TRUE,1.77778,4575,2,TRUE,FALSE,1,0,4,2,1
3044,FALSE,FALSE,1.8,665,2,FALSE,FALSE,0,0,2,2,1
3045,FALSE,FALSE,1.8,660,2,FALSE,FALSE,0,0,2,2,1
3046,FALSE,FALSE,1.22222,612,2,FALSE,FALSE,0,0,2,2,1
3047,FALSE,FALSE,1.22222,611,2,FALSE,FALSE,0,0,2,2,1
3048,FALSE,TRUE,1.77778,860,2,TRUE,FALSE,0,0,4,2,1
3049,FALSE,FALSE,1.22222,633,2,FALSE,FALSE,0,0,2,2,1
3050,FALSE,FALSE,1.22222,630,2,FALSE,FALSE,0,0,2,2,1
3051,FALSE,TRUE,1.77778,40,2,TRUE,FALSE,0,3,4,2,1
3052,FALSE,TRUE,1.33333,56,2,FALSE,FALSE,0,4,3,2,1
3053,FALSE,TRUE,1.77778,1175,2,TRUE,FALSE,0,0,4,2,1
3054,FALSE,TRUE,1.18889,480,2,TRUE,FALSE,0,0,4,2,1
3055,FALSE,TRUE,1.77778,536,2,TRUE,FALSE,0,0,4,2,1
3056,FALSE,TRUE,1.77778,1085,2,TRUE,FALSE,0,0,4,2,1
3057,FALSE,TRUE,1.77778,607,2,TRUE,FALSE,0,0,4,2,1
3058,FALSE,FALSE,1.8,649,2,FALSE,FALSE,0,0,2,2,1
3059,FALSE,FALSE,1.8,649,2,FALSE,FALSE,0,0,2,2,1
3060,FALSE,FALSE,1.8,445,2,FALSE,FALSE,0,0,2,2,1
3061,FALSE,FALSE,1.8,443,2,FALSE,FALSE,0,0,2,2,1
3062,FALSE,TRUE,1.73077,60,2,FALSE,FALSE,0,1,3,2,1
3063,FALSE,TRUE,1.33333,48,2,FALSE,FALSE,0,1,3,2,1
3064,FALSE,TRUE,1.33333,340,2,FALSE,FALSE,0,4,4,2,0
3065,FALSE,TRUE,1.33333,189,2,FALSE,FALSE,0,0,2,2,0
3066,FALSE,TRUE,1.77778,121,2,FALSE,FALSE,0,10,2,2,0
3067,FALSE,TRUE,1.25,2125,5,TRUE,FALSE,0,0,3,2,0
3068,FALSE,TRUE,1.25,34,2,FALSE,FALSE,0,1,3,2,0
3069,FALSE,TRUE,1.25,35,2,FALSE,FALSE,0,1,3,2,0
3070,FALSE,TRUE,1.25,35,2,FALSE,FALSE,0,1,3,2,0
3071,FALSE,TRUE,1.25,34,2,FALSE,FALSE,0,1,3,2,0
3072,FALSE,TRUE,1.25,34,2,FALSE,FALSE,0,1,3,2,0
3073,FALSE,TRUE,1.33333,38,10,FALSE,FALSE,0,5,3,2,0
3074,FALSE,TRUE,1.33333,1158,2,FALSE,FALSE,0,0,2,2,0
3075,FALSE,TRUE,1.48837,57,2,FALSE,FALSE,0,2,2,2,0
3076,FALSE,TRUE,1.33333,265,3,FALSE,FALSE,3,2,2,2,0
3077,FALSE,TRUE,1.77778,2078,3,FALSE,FALSE,0,10,2,2,0
3078,FALSE,TRUE,1.8,62,2,FALSE,FALSE,0,8,2,2,0
3079,FALSE,TRUE,1.33333,1157,2,FALSE,FALSE,0,0,2,1,23
3080,FALSE,TRUE,1.33333,1223,2,FALSE,FALSE,0,0,3,1,23
3081,FALSE,TRUE,1.33333,53,2,FALSE,FALSE,0,1,3,1,23
3082,FALSE,TRUE,1.33333,1159,2,FALSE,FALSE,1,0,2,1,23
3083,FALSE,TRUE,1.33333,274,5,FALSE,FALSE,0,1,2,1,23
